Type,Name,lon,lat
S,Motagua-Polochic3,-91.65577021,15.40463407
S,Motagua-Polochic3,-91.64783635,15.40230059
S,Motagua-Polochic3,-91.63336873,15.39763361
S,Motagua-Polochic3,-91.61890111,15.39390003
S,Motagua-Polochic3,-91.61050055,15.39296664
S,Motagua-Polochic3,-91.59696632,15.39016645
S,Motagua-Polochic3,-91.58809907,15.38829966
S,Motagua-Polochic3,-91.57829842,15.38643287
S,Motagua-Polochic3,-91.56756438,15.38363269
S,Motagua-Polochic3,-91.55729704,15.3817659
S,Motagua-Polochic3,-91.54329611,15.37849901
S,Motagua-Polochic3,-91.53116198,15.37616553
S,Motagua-Polochic3,-91.51716105,15.37383204
S,Motagua-Polochic3,-91.50362683,15.36963176
S,Motagua-Polochic3,-91.48425888,15.36589818
S,Motagua-Polochic3,-91.47305814,15.36473144
S,Motagua-Polochic3,-91.46489093,15.36239795
S,Motagua-Polochic3,-91.4527568,15.35936442
S,Motagua-Polochic3,-91.43945592,15.35726428
S,Motagua-Polochic3,-91.42755514,15.35586419
S,Motagua-Polochic3,-91.41845453,15.35539749
S,Motagua-Polochic3,-91.40492031,15.35446409
S,Motagua-Polochic3,-91.39161943,15.35236395
S,Motagua-Polochic3,-91.37785185,15.34839703
S,Motagua-Polochic3,-91.37248483,15.34653024
S,Motagua-Polochic3,-91.35638377,15.34536349
S,Motagua-Polochic3,-91.34144945,15.34629689
S,Motagua-Polochic3,-91.32884862,15.34886372
S,Motagua-Polochic3,-91.31974802,15.34909707
S,Motagua-Polochic3,-91.31064741,15.35003047
S,Motagua-Polochic3,-91.29968002,15.35236395
S,Motagua-Polochic3,-91.29127947,15.35469744
S,Motagua-Polochic3,-91.27121148,15.35376405
S,Motagua-Polochic3,-91.26164418,15.35189726
S,Motagua-Polochic3,-91.24904335,15.34816368
S,Motagua-Polochic3,-91.23854265,15.34583019
S,Motagua-Polochic3,-91.22640852,15.3439634
S,Motagua-Polochic3,-91.21287429,15.34209661
S,Motagua-Polochic3,-91.19980676,15.34092987
S,Motagua-Polochic3,-91.18720593,15.34069652
S,Motagua-Polochic3,-91.173205,15.34209661
S,Motagua-Polochic3,-91.16340436,15.34256331
S,Motagua-Polochic3,-91.15173692,15.34116321
S,Motagua-Polochic3,-91.1363359,15.3439634
S,Motagua-Polochic3,-91.12513516,15.34489679
S,Motagua-Polochic3,-91.11206763,15.34536349
S,Polochic,-91.15185359,15.33264599
S,Polochic,-91.12198495,15.33311268
S,Polochic,-91.10611724,15.33404608
S,Polochic,-91.09118292,15.33404608
S,Polochic,-91.06644795,15.33451278
S,Polochic,-91.03051225,15.33404608
S,Polochic,-91.01697802,15.33357938
S,Polochic,-90.99924351,15.33311268
S,Polochic,-90.98850947,15.33311268
S,Polochic,-90.95957423,15.33217929
S,Polochic,-90.94043963,15.33637957
S,Polochic,-90.90730411,15.34057984
S,Polochic,-90.87556868,15.34104654
S,Polochic,-90.85083371,15.34151324
S,Polochic,-90.82843223,15.34151324
S,Polochic,-90.79342992,15.34524682
S,Polochic,-90.77102844,15.3489804
S,Polochic,-90.75516073,15.35224728
S,Polochic,-90.7234253,15.35691426
S,Polochic,-90.70149051,15.35644756
S,Polochic,-90.68795629,15.35644756
S,Polochic,-90.67022178,15.35318068
S,Polochic,-90.63778631,15.3485137
S,Polochic,-90.62495213,15.34758031
S,Polochic,-90.60768432,15.34641356
S,Polochic,-90.59648358,15.34571352
S,Polochic,-90.56731499,15.34501347
S,Polochic,-90.54071323,15.34314668
S,Polochic,-90.51201133,15.34081319
S,Polochic,-90.4907766,15.33637957
S,Polochic,-90.47560893,15.33334603
S,Polochic,-90.45857447,15.33241264
S,Polochic,-90.43827313,15.33287933
